Title
Manchester by the Sea
Like Water for Chocolate
The Assassination of Jesse James by the Coward Robert Ford
Frances Ha
The Life Aquatic with Steve Zissou
Moneyball
Raging Bull
Versme
Dazed and Confused
The Great Beauty
The Hours
The Graduate
Manhattan Murder Mystery
Michael Clayton
Kiss Kiss Bang Bang
Leviathan
Kill Bill: Vol. 1
Private Life
Juno
Smashed
My Girl
The People vs. Larry Flynt
The Wrestler
Hannah and Her Sisters
The Shawshank Redemption
The Party
Husbands and Wives
I Am Love
The Big Lebowski
A Serious Man
The Perks of Being a Wallflower
Bernie
The Last King of Scotland
Sicario
Martha Marcy May Marlene
Siuolaikiniai zverys
Jackie Brown
Fatal Attraction
Never Let Me Go
Last Night
V for Vendetta
Detachment
Taxi Driver
Nebraska
The Devil's Advocate
Cat on a Hot Tin Roof
The Elephant Man
The Silence
You Don't Know Jack
The Thin Red Line
Isgyvena tik mylintys
Melori Kein. Prarasta kontrole
Karo geles
The Constant Gardener
'71
"The Cook, the Thief, His Wife & Her Lover"
Thelma & Louise
Pay It Forward
Solaris
Life Is Sweet
Shrek Forever After
Vadink mane savo vardu
Lucky
Insomnia
Blue Jasmine
A Beautiful Mind
Memoirs of a Geisha
Grey Gardens
Dirty Harry
Pride & Prejudice
Primer
The Squid and the Whale
Mulholland Drive
Filth
The Aviator
The Good Lie
Hacksaw Ridge
Rope
25th Hour
The Usual Suspects
The Grand Budapest Hotel
True Grit
Fanny and Alexander
Too Big to Fail
Before the Devil Knows You're Dead
Lost in Translation
East of Eden
Experimenter
Midnight in Paris
The Reader
We Need to Talk About Kevin
Holy Motors
It's Only the End of the World
Trainspotting
Chicago
Boogie Nights
Kids
The Duchess
Behind the Candelabra
Donnie Darko
Heat
I Origins
Before Sunrise
Sweeney Todd: The Demon Barber of Fleet Street
The Wizard of Lies
Guess Who's Coming to Dinner
Harry Potter and the Sorcerer's Stone
Pi
Before Sunset
Manhattan
Match Point
Annie Hall
Gerry
The Handmaiden
Happy End
The Master
Another Year
American History X
Philadelphia
Manderlay
To the Wonder
Reservoir Dogs
Se7en
All Is Lost
Boyhood
Almost Famous
Cape Fear
Margin Call
Pleasantville
Promised Land
The Wolf of Wall Street
Four Lions
Take Shelter
Captain Phillips
Fast Times at Ridgemont High
Nymphomaniac: Vol. I
Basic Instinct
Fracture
The Kings of Summer
Django Unchained
Naked
Vicky Cristina Barcelona
Harry Potter and the Deathly Hallows: Part 1
A Bigger Splash
Sin Nombre
Brokeback Mountain
Romeo + Juliet
Road to Perdition
A Single Man
Good Will Hunting
Dead Ringers
Eternal Sunshine of the Spotless Mind
Blue Ruin
Quiz Show
Upstream Color
Moonlight
Candy
Persona
Lincoln
Harry Potter and the Half-Blood Prince
RocknRolla
Incendies
