Title
Pulp Fiction (1994)
Somewhere (2010)
Ray (2004)
Black Swan (2010)
The Usual Suspects (1995)
Dazed and Confused (1993)
Remember Me (2010)
Changeling (2008)
The Squid and the Whale (2005)
The Social Network (2010)
500 Days of Summer (2009)
Shutter Island (2010)
Revolutionary Road (2008)
The Beach (2000)
The Basketball Diaries (1995)
American History X (1998)
Crash (2004)
The Wrestler (2008)
The Virgin Suicides (1999)
Vicky Cristina Barcelona (2008)
Match Point (2005)
Brokeback Mountain (2005)
Gangs of New York (2002)
Gone Baby Gone (2007)
Ferris Bueller's Day Off (1986)
The Devil's Advocate (1997)
Se7en (1995)
The Truman Show (1998)
Catch Me If You Can (2002)
In Bruges (2008)
A Single Man (2009)
There Will Be Blood (2007)
Rain Man (1988)
Pride & Prejudice (2005)
Source Code (2011)
An Education (2009)
Fast Times at Ridgemont High (1982)
Romeo + Juliet (1996)
The Aviator (2004)
Now and Then (1995)
Limitless (2011)
The Life of David Gale (2003)
The Reader (2008)
Revolver (2005)
Brothers (2009)
The Queen (2006)
Brick (2005)
The Assassination of Jesse James by the Coward Robert Ford (2007)
Midnight in Paris (2011)
Blue Valentine (2010)
Drive (2011)
Sleepers (1996)
Philadelphia (1993)
Training Day (2001)
Enemy at the Gates (2001)
RocknRolla (2008)
Jackie Brown (1997)
Insomnia (2002)
Milk (2008)
True Grit (2010)
Mystic River (2003)
The Hurt Locker (2008)
Harry Potter and the Chamber of Secrets (2002)
Harry Potter and the Goblet of Fire (2005)
The Prestige (2006)
Up in the Air (2009)
Juno (2007)
Harry Potter and the Half-Blood Prince (2009)
The Believer (2001)
Harry Potter and the Deathly Hallows: Part 1 (2010)
V for Vendetta (2005)
The Hours (2002)
The Godfather: Part III (1990)
12 Angry Men (1957)
Out of Africa (1985)
Chicago (2002)
The Ides of March (2011)
A Beautiful Mind (2001)
The Woodsman (2004)
Almost Famous (2000)
Memoirs of a Geisha (2005)
Pearl Harbor (2001)
Boy A (2007)
The Descendants (2011)
The Little Mermaid (1989)
American Gangster (2007)
Forrest Gump (1994)
Pay It Forward (2000)
Another Year (2010)
Before Sunrise (1995)
Crazy, Stupid, Love. (2011)
Into the Wild (2007)
High Hopes (1988)
Sling Blade (1996)
Warrior (2011)
J. Edgar (2011)
Melancholia (2011)
Before Sunset (2004)
Footloose (1984)
The Libertine (2004)
Blow (2001)
The Passenger (1975)
Gran Torino (2008)
Jerry Maguire (1996)
The Tree of Life (2011)
United 93 (2006)
Hard Candy (2005)
You Will Meet a Tall Dark Stranger (2010)
True Romance (1993)
Shelter (2007)
Little Miss Sunshine (2006)
City of God (2002)
The Talented Mr. Ripley (1999)
Fight Club (1999)
Primal Fear (1996)
Batman Begins (2005)
The Dark Knight (2008)
Cape Fear (1991)
Moonrise Kingdom (2012)
The Fountain (2006)
The Bridges of Madison County (1995)
Atonement (2007)
Born on the Fourth of July (1989)
Interview with the Vampire: The Vampire Chronicles (1994)
Happy-Go-Lucky (2008)
Edward Scissorhands (1990)
Beginners (2010)
Office Space (1999)
Rounders (1998)
Platoon (1986)
Heat (1995)
Doubt (2008)
Marie Antoinette (2006)
The Duchess (2008)
Vanilla Sky (2001)
Latter Days (2003)
Traffic (2000)
The Savages (2007)
The Fighter (2010)
The Darjeeling Limited (2007)
Never Let Me Go (2010)
Hotel Rwanda (2004)
Heathers (1989)
The Goonies (1985)
127 Hours (2010)
Gattaca (1997)
Vera Drake (2004)
21 Grams (2003)
No Country for Old Men (2007)
The Help (2011)
A Serious Man (2009)
Body of Lies (2008)
The Informant! (2009)
Reservoir Dogs (1992)
Kinsey (2004)
Moneyball (2011)
Silver Linings Playbook (2012)
Whatever Works (2009)
Flight (2012)
The Dark Knight Rises (2012)
Precious (2009)
Holy Motors (2012)
To Rome with Love (2012)
Savage Grace (2007)
Seven Psychopaths (2012)
Looper (2012)
The Artist (2011)
Martha Marcy May Marlene (2011)
Carnage (2011)
Legends of the Fall (1994)
We Need to Talk About Kevin (2011)
This Boy's Life (1993)
Rebel Without a Cause (1955)
The Debt (2010)
End of Watch (2012)
The Thin Red Line (1998)
Kramer vs. Kramer (1979)
Terms of Endearment (1983)
Velvet Goldmine (1998)
Blue Velvet (1986)
The Company Men (2010)
Once Upon a Time in America (1984)
Side Effects (2013)
Kids (1995)
Fatal Attraction (1987)
The Place Beyond the Pines (2012)
A Bronx Tale (1993)
Ghost (1990)
Scoop (2006)
Garden State (2004)
Kill Bill: Vol. 1 (2003)
Kill Bill: Vol. 2 (2004)
Boogie Nights (1997)
My Summer of Love (2004)
The Untouchables (1987)
Margin Call (2011)
Hunger (2008)
Mysterious Skin (2004)
Half Nelson (2006)
The Man in the Moon (1991)
Prisoners (2013)
The Ice Storm (1997)
Pleasantville (1998)
The Perks of Being a Wallflower (2012)
Grease (1978)
Batman (1989)
Batman Returns (1992)
Natural Born Killers (1994)
Zodiac (2007)
Punch-Drunk Love (2002)
Elephant (2003)
Bernie (2011)
Rachel Getting Married (2008)
Thirteen (2003)
Eyes Wide Shut (1999)
Sex, Lies, and Videotape (1989)
The Life Aquatic with Steve Zissou (2004)
Lincoln (2012)
The Elephant Man (1980)
The Witches of Eastwick (1987)
Interiors (1978)
Inglourious Basterds (2009)
Little Children (2006)
Frances Ha (2012)
My Girl (1991)
Dead Man Walking (1995)
Away We Go (2009)
The Rainmaker (1997)
Girl with a Pearl Earring (2003)
Sin City (2005)
Blue Jasmine (2013)
Sleeping with the Enemy (1991)
I Am Love (2009)
Saving Private Ryan (1998)
August: Osage County (2013)
Incendies (2010)
Nymphomaniac: Vol. I (2013)
Reality Bites (1994)
Wendy and Lucy (2008)
Hard Eight (1996)
Man on the Moon (1999)
American Beauty (1999)
Thank You for Smoking (2005)
Two Family House (2000)
The Birdcage (1996)
All or Nothing (2002)
Mermaids (1990)
Basic Instinct (1992)
Snatch (2000)
The English Patient (1996)
Primer (2004)
Gone Girl (2014)
Mean Creek (2004)
Lost Highway (1997)
A Clockwork Orange (1971)
The Departed (2006)
Fury (2014)
Hannah and Her Sisters (1986)
Big Fish (2003)
Two Lovers (2008)
'71 (2014)
Moon (2009)
The Master (2012)
The Ladykillers (2004)
The Doors (1991)
The Spectacular Now (2013)
Zero Dark Thirty (2012)
Last Days (2005)
Safe (1995)
Days of Heaven (1978)
Locke (2013)
Hide Your Smiling Faces (2013)
Nightcrawler (2014)
Still Alice (2014)
Men, Women & Children (2014)
Coffee and Cigarettes (2003)
A Separation (2011)
The Matrix (1999)
Men of Honor (2000)
The Great Beauty (2013)
Glengarry Glen Ross (1992)
Omar (2013)
The Game (1997)
To Die For (1995)
Before Midnight (2013)
The Cook, the Thief, His Wife & Her Lover (1989)
Léon: The Professional (1994)
Ordinary People (1980)
Manhattan Murder Mystery (1993)
Irrational Man (2015)
The Good Lie (2014)
Damage (1992)
The End of the Affair (1999)
One False Move (1992)
The People vs. Larry Flynt (1996)
The Kings of Summer (2013)
The Flowers of War (2011)
Gerry (2002)
Bridge of Spies (2015)
The Hateful Eight (2015)
The Lobster (2015)
Spotlight (2015)
Four Lions (2010)
Contagion (2011)
Tom at the Farm (2013)
Misery (1990)
Happiness (1998)
Fallen (1998)
American Psycho (2000)
Best in Show (2000)
Quiz Show (1994)
Life Is Sweet (1990)
Small Time Crooks (2000)
Spring, Summer, Fall, Winter... and Spring (2003)
A Royal Affair (2012)
The Thin Blue Line (1988)
Falling Down (1993)
Rosemary's Baby (1968)
A Few Good Men (1992)
Rushmore (1998)
Bullhead (2011)
King of New York (1990)
Tape (2001)
Dead Ringers (1988)
Badlands (1973)
Cyrus (2010)
Like Water for Chocolate (1992)
Thelma & Louise (1991)
You Can Count on Me (2000)
Haywire (2011)
Short Cuts (1993)
Arrival (2016)
The Royal Tenenbaums (2001)
Nocturnal Animals (2016)
Sully (2016)
Hacksaw Ridge (2016)
Husbands and Wives (1992)
Juice (1992)
Casino (1995)
Riding in Cars with Boys (2001)
Paterson (2016)
99 Homes (2014)
Silence (2016)
The Handmaiden (2016)
Synecdoche, New York (2008)
The Unbearable Lightness of Being (1988)
Elle (2016)
Moonlight (2016)
Trainspotting (1996)
Manchester by the Sea (2016)
Michael Clayton (2007)
Slacker (1990)
Dogville (2003)
Vertigo (1958)
The Apartment (1960)
Courage Under Fire (1996)
Dunkirk (2017)
American Made (2017)
Blade Runner 2049 (2017)
Good Time (2017)
Melinda and Melinda (2004)
Happy End (2017)
The Square (2017)
The Party (2017)
American Graffiti (1973)
The Wizard of Lies (TV Movie 2017)
The Night of the Hunter (1955)
Call Me by Your Name (2017)
Dangerous Liaisons (1988)
Guess Who's Coming to Dinner (1967)
The Florida Project (2017)
Unfaithful (2002)
Gone with the Wind (1939)
The Disaster Artist (2017)
Rope (1948)
Lucky (2017)
The Deep End (2001)
Junebug (2005)
Bubble (2005)
Beyond the Sea (2004)
Dolores Claiborne (1995)
The Tale (2018)
Take Shelter (2011)
Filth (2013)
The First Wives Club (1996)
While We're Young (2014)
Before the Devil Knows You're Dead (2007)
Running on Empty (1988)
Inception (2010)
The One I Love (2014)
Singles (1992)
Don't Worry, He Won't Get Far on Foot (2018)
Dead Man (1995)
A Star Is Born (2018)
Private Life (2018)
The House That Jack Built (2018)
American Animals (2018)
Shadow of a Doubt (1943)
The Sisters Brothers (2018)
The Remains of the Day (1993)
Alice (1990)
Vice (2018)
Roma (2018)
The Favourite (2018)
Loveless (2017)
The Beach Bum (2019)
Beautiful Boy (2018)
Bad Lieutenant (1992)
Greenberg (2010)
Reversal of Fortune (1990)
Election (1999)
Columbus (2017)
Golden Exits (2017)
I, Tonya (2017)
Molly's Game (2017)
Good Will Hunting (1997)
Midsommar (2019)
Notting Hill (1999)
All the Money in the World (2017)
Once Upon a Time... in Hollywood (2019)
Indecent Proposal (1993)
War Dogs (2016)
Joker (2019)
The Best Years of Our Lives (1946)
Notorious (1946)
Contact (1997)
Double Indemnity (1944)
Knives Out (2019)
The Irishman (2019)
Touch of Evil (1958)
Parasite (2019)
Marriage Story (2019)
Under the Silver Lake (2018)
Harry Potter and the Sorcerer's Stone (2001)
Uncut Gems (2019)
Four Weddings and a Funeral (1994)
Interstellar (2014)
Defending Your Life (1991)
Dirty Dancing (1987)
Cast Away (2000)
To Kill a Mockingbird (1962)
Can You Ever Forgive Me? (2018)
Nights of Cabiria (1957)
Diner (1982)
Grey Gardens (TV Movie 2009)
About Time (2013)
The Overnight (2015)
The Martian (2015)
Short Term 12 (2013)
Trance (2013)
The Big Short (2015)
Memories of Murder (2003)
Stalker (1979)
Birdman or (The Unexpected Virtue of Ignorance) (2014)
Stand by Me (1986)
Candy (2006)
Inside Llewyn Davis (2013)
Wild (2014)
Pain & Gain (2013)
The Meyerowitz Stories (2017)
Enough Said (2013)
North by Northwest (1959)
The Iceman (2012)
Promised Land (2012)
Boyhood (2014)
Pump Up the Volume (1990)
Foxcatcher (2014)
Mad Max: Fury Road (2015)
American Hustle (2013)
Take This Waltz (2011)
Gravity (2013)
Magic in the Moonlight (2014)
Don Jon (2013)
Disconnect (2012)
Blood Diamond (2006)
The Wolf of Wall Street (2013)
Project X (2012)
Whiplash (2014)
Nebraska (2013)
Dallas Buyers Club (2013)
A Bigger Splash (2015)
The Other Boleyn Girl (2008)
Miss Pettigrew Lives for a Day (2008)
The Counselor (2013)
Inherent Vice (2014)
The Monuments Men (2014)
American Sniper (2014)
Mistress America (2015)
The Last King of Scotland (2006)
Fruitvale Station (2013)
Demolition (2015)
Spring Breakers (2012)
The Judge (2014)
Django Unchained (2012)
Sicario (2015)
I Origins (2014)
Fracture (2007)
The Painted Veil (2006)
Monty Python and the Holy Grail (1975)
Mud (2012)
Captain Phillips (2013)
The Drop (2014)
Alpha Dog (2006)
Living in Oblivion (1995)
Out of the Furnace (2013)
Prozac Nation (2001)
The Revenant (2015)
All Is Lost (2013)
The Girl on the Train (2016)
Giant (1956)
Lady Bird (2017)
Death Becomes Her (1992)
The Grand Budapest Hotel (2014)
Wild Strawberries (1957)
Niagara (1953)
I Killed My Mother (2009)
Last Night (2010)
Straight Outta Compton (2015)
The City of Your Final Destination (2009)
Upstream Color (2013)
Cat on a Hot Tin Roof (1958)
Leviathan (2014)
Who's Afraid of Virginia Woolf? (1966)
American Honey (2016)
Florence Foster Jenkins (2016)
The Little Girl Who Lives Down the Lane (1976)
Listen Up Philip (2014)
The Jungle Book (1967)
Lost River (2014)
Café Society (2016)
Mommy (2014)
The Seven Year Itch (1955)
Suspicion (1941)
Tae Guk Gi: The Brotherhood of War (2004)
Experimenter (2015)
Žiemos miegas (2014)
Behind the Candelabra (2013)
The Man from Earth (2007)
The Hunt (2012)
Wild Tales (2014)
The Imposter (2012)
Only Lovers Left Alive (2013)
Tobuli melagiai (2016)
Only God Forgives (2013)
Room (2015)
Das letzte Schweigen (2010)
Jayne Mansfield's Car (2012)
Blue Ruin (2013)
Autumn Sonata (1978)
The Sunset Limited (TV Movie 2011)
The Tribe (2014)
Roman Holiday (1953)
The Souvenir (2019)
Okja (2017)
Dark Waters (2019)
The Straight Story (1999)
1917 (2019)
Burning (2018)
O Brother, Where Art Thou? (2000)
Letter from an Unknown Woman (1948)
Marjorie Prime (2017)
Little Women (2019)
I Love You, Daddy (2017)
